Date,Shape,Spacing_cm,Irradiance_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2024-02-27,V-Shape,62,6.41,29.52,32.68,80.9,0.01,64.72,0.008,0.52,0.67
2024-02-27,V-Shape,77,6.41,29.52,28.68,82.16,0.01,65.73,0.008,0.52,0.67
2024-02-27,V-Shape,93,6.41,29.52,25.68,83.11,0.009,66.49,0.008,0.53,0.67
2024-02-27,Inverted-V,62,6.6,29.52,31.68,81.21,0.01,64.97,0.008,0.53,0.67
2024-02-27,Inverted-V,77,6.6,29.52,27.68,82.48,0.01,65.98,0.008,0.54,0.67
2024-02-27,Inverted-V,93,6.6,29.52,24.68,83.43,0.01,66.74,0.008,0.54,0.67
2024-02-28,Flat,62,6.48,29.6,33.76,80.55,0.01,64.44,0.008,0.52,0.67
2024-02-28,Flat,77,6.48,29.6,29.76,81.82,0.01,65.46,0.008,0.53,0.67
2024-02-28,Flat,93,6.48,29.6,26.76,82.77,0.01,66.22,0.008,0.53,0.67
2024-02-28,V-Shape,62,6.8,29.6,32.77,80.87,0.01,64.69,0.008,0.55,0.67
2024-02-28,V-Shape,77,6.8,29.6,28.77,82.13,0.01,65.71,0.008,0.55,0.67
2024-02-28,V-Shape,93,6.8,29.6,25.77,83.08,0.01,66.47,0.008,0.56,0.67
2024-02-28,Inverted-V,62,6.99,29.6,31.77,81.18,0.01,64.95,0.009,0.57,0.67
2024-02-28,Inverted-V,77,6.99,29.6,27.77,82.45,0.01,65.96,0.009,0.57,0.67
2024-02-28,Inverted-V,93,6.99,29.6,24.77,83.4,0.01,66.72,0.009,0.58,0.67
2024-02-29,Flat,62,6.6,29.26,33.43,80.66,0.01,64.53,0.008,0.53,0.67
2024-02-29,Flat,77,6.6,29.26,29.43,81.93,0.01,65.54,0.008,0.54,0.67
2024-02-29,Flat,93,6.6,29.26,26.43,82.88,0.01,66.3,0.008,0.54,0.67
2024-02-29,V-Shape,62,6.93,29.26,32.43,80.97,0.01,64.78,0.009,0.56,0.67
2024-02-29,V-Shape,77,6.93,29.26,28.43,82.24,0.01,65.79,0.009,0.57,0.67
2024-02-29,V-Shape,93,6.93,29.26,25.43,83.19,0.01,66.55,0.009,0.57,0.67
2024-02-29,Inverted-V,62,7.13,29.26,31.44,81.29,0.011,65.03,0.009,0.58,0.67
2024-02-29,Inverted-V,77,7.13,29.26,27.44,82.56,0.011,66.04,0.009,0.58,0.67
2024-02-29,Inverted-V,93,7.13,29.26,24.44,83.51,0.011,66.8,0.009,0.59,0.67
2024-03-01,Flat,62,5.61,28.79,32.93,80.82,0.008,64.65,0.007,0.45,0.67
2024-03-01,Flat,77,5.61,28.79,28.93,82.08,0.008,65.67,0.007,0.46,0.67
2024-03-01,Flat,93,5.61,28.79,25.93,83.03,0.008,66.43,0.007,0.46,0.67
2024-03-01,V-Shape,62,5.89,28.79,31.94,81.13,0.009,64.91,0.007,0.48,0.67
2024-03-01,V-Shape,77,5.89,28.79,27.94,82.4,0.009,65.92,0.007,0.48,0.67
2024-03-01,V-Shape,93,5.89,28.79,24.94,83.35,0.009,66.68,0.007,0.49,0.67
2024-03-01,Inverted-V,62,6.06,28.79,30.94,81.45,0.009,65.16,0.008,0.49,0.67
2024-03-01,Inverted-V,77,6.06,28.79,26.94,82.71,0.009,66.17,0.008,0.5,0.67
2024-03-01,Inverted-V,93,6.06,28.79,23.94,83.66,0.009,66.93,0.007,0.5,0.67
2024-03-02,Flat,62,6.97,27.7,31.87,81.15,0.01,64.92,0.009,0.56,0.67
2024-03-02,Flat,77,6.97,27.7,27.87,82.42,0.01,65.93,0.009,0.57,0.67
2024-03-02,Flat,93,6.97,27.7,24.87,83.37,0.01,66.69,0.009,0.57,0.67
2024-03-02,V-Shape,62,7.32,27.7,30.88,81.47,0.011,65.17,0.009,0.59,0.67
2024-03-02,V-Shape,77,7.32,27.7,26.88,82.73,0.011,66.19,0.009,0.6,0.67
2024-03-02,V-Shape,93,7.32,27.7,23.88,83.68,0.011,66.95,0.009,0.61,0.67
2024-03-02,Inverted-V,62,7.53,27.7,29.89,81.78,0.011,65.42,0.009,0.61,0.67
2024-03-02,Inverted-V,77,7.53,27.7,25.89,83.05,0.011,66.44,0.009,0.62,0.67
2024-03-02,Inverted-V,93,7.53,27.7,22.89,84.0,0.011,67.2,0.009,0.62,0.67
