Week,Shape,Spacing_cm,Irr_kWh_m2
48,V-Shape,62,19.3800875
48,V-Shape,77,19.3800875
48,V-Shape,93,19.3800875
49,Flat,62,30.64335
49,Flat,77,30.64335
49,Flat,93,30.64335
49,Inverted-V,62,33.0948525
49,Inverted-V,77,33.0948525
49,Inverted-V,93,33.0948525
49,V-Shape,62,32.175512499999996
49,V-Shape,77,32.175512499999996
49,V-Shape,93,32.175512499999996
50,Flat,62,23.639225
50,Flat,77,23.639225
50,Flat,93,23.639225
50,Inverted-V,62,25.53041
50,Inverted-V,77,25.53041
50,Inverted-V,93,25.53041
50,V-Shape,62,24.8212225
50,V-Shape,77,24.8212225
50,V-Shape,93,24.8212225
51,Flat,62,34.5262175
51,Flat,77,34.5262175
51,Flat,93,34.5262175
51,Inverted-V,62,37.2883275
51,Inverted-V,77,37.2883275
51,Inverted-V,93,37.2883275
51,V-Shape,62,36.25254
51,V-Shape,77,36.25254
51,V-Shape,93,36.25254
52,Flat,62,35.998065
52,Flat,77,35.998065
52,Flat,93,35.998065
52,Inverted-V,62,38.8779375
52,Inverted-V,77,38.8779375
52,Inverted-V,93,38.8779375
52,V-Shape,62,37.7980125
52,V-Shape,77,37.7980125
52,V-Shape,93,37.7980125
